ID;Text;TextID;Titel
1;RADIX_0000000000000004;A nap;"The Sun is referred to as the star at the center of our solar system. It is a sphere, around which the Earth and the other planets rotate in an elliptical orbit, which causes the distance between the two to vary. The Sun is enormous in relation to the planets, approximately 700 times larger than all the planets put together. Although from the Earth, the Sun seems to cross above us symmetrically from East to West every day, it only appears to be so. Following the Vernal Equinox the Sun moves to the North until the 21st of June (in the Northern Hemisphere the day with the shortest night) when it reaches its climax in Cancer. It changes directions turning south continuing past the autumnal equinox until reaching its turning point in Capricorn on the 22nd of December, in the northern hemisphere the day with the longest night.



The Sun was naturally the first and most important celestial body to be observed by man and therefore plays an import role in mythology. The Sun is personified by Apollo (in Greek mythology) and by Hellos (in Roman mythology). This god brought life energy, enlightenment and healing. In Astrology the position of the Sun describes our personalities. People who are not yet well acquainted with Astrology refer to themselves as Pisces if the Sun was in the sign Pisces at the time of their birth. Naturally, the Sun is a very important part of the interpretation but it remains merely one factor among many. A well-placed Sun enables us to radiate joy, confidence and strength as well as fight off disease. The Sun corresponds to the sign Leo, which has the same attributes."
2;RADIX_0000000000000001;Your Sun in Aries;"The zodiac begins with Aries, a fire sign, ruled by Mars. Here, original life impulses and emerging energies are found. Aries represents the beginning of development and does not concern itself with the past. The Aries prefers to move forward without looking back. An Aries personality has enormous potential for energy and motivation. People born under this cardinal sign, are constantly on the lookout for new directions in which they can pioneer. The disadvantage is a lack of endurance and interest to stay with a task for an extended period of time.



If you could learn to concentrate your energy potential to accomplish a specific goal, you would find it easier to be successful. Instead of taking the time to think and plan you want to act on impulse. Consider the needs of others more carefully if you want to avoid ending up alone at the top because nobody was able to keep up with you. You tend to overlook important details and then later wonder what went wrong. This should motivate you to plan your actions thoroughly or include others in the planning. Do not be too quick to discount the advice of others; listen to well-intended suggestions, and you will find that it can be to your advantage.



You are challenged by your own ambition. Because your leadership qualities are undisputed, you receive recognition that is essential for you. 

If you are able to develop more sensitivity and treat others with diplomacy, nothing will stand in the way of your success, because the really positive aspect of Aries is that they never give up."
3;RADIX_0000000000016385;Your Sun in Taurus;"Determination and ambition characterize Taurus, an earth sign. Taureans are challenged not to be seduced by the material comforts of life; they also know to enjoy their well-earned successes.



Because Taurus is ruled by Venus, you have a lively interest in the pleasant side of life. You are a sensual person and materially oriented, preferring to see tangible results. Do not make the mistake of defining yourself by your possessions.



You require security and stability in your life and like to work for your retirement. You do not want to be bothered with financial worries and are also prepared to work for financial stability. You do not find it difficult to work for a long time on a task, but it should be something sensible. You like gardening and would even enjoy building a house. You spend money responsibly. Earning interest makes you very happy. When provoked, you can forget about comfort and raise hell, as Taureans are known to do. But it takes a while to reach that point.



In romantic relationships you tend to be jealous and possessive. On the other hand, no other sign of the Zodiac can develop the loyalty of a Taurus. It is important for you to learn that you cannot own people, but that they have willingly decided to share a part of their life with you."
4;RADIX_0000000000032769;Your Sun in Gemini;"The sign Gemini is ruled by the planet Mercury and is considered an Air Sign. You are known for your ability to communicate and are easy going. Contact to others is essential to you. You love a good conversation and take care to express yourself precisely. You also keep yourself informed of daily events. The media branch fascinates you; you may find a future career in it. Since Gemini is an Air Sign you find it easy to learn about any field. Take the time to withdraw to a quiet place; relaxation and reflection does you a lot of good. If you allow yourself the luxury more often you will find that you have more energy. Be careful not to let yourself get caught up in disputes which leave you exhausted and upset your inner balance. Learn to differentiate between useful information and activities from those that are unimportant; this will help you avoid overloading yourself. You may find that putting your creative energies into writing may help you to find the necessary composure to organize your thoughts.



You are creative and are always interested in the latest fad. If you were not able to get the education you wanted in your youth, you will try to compensate for this deficit for the rest of your life.



If you do not have enough change in your life, you may become moody and may even take your resentment out on the people around you. To avoid this, be sure to keep your mind alert and stimulated. Take time to think about your role in this universe and do not always react to criticism from your friends by being insulted because that will not help you."
5;RADIX_0000000000049153;Your Sun in Cancer;"Cancer is a water sign that causes people to be sensitive and want to share their feelings with others. It is also a feminine sign, and is associated with the Moon, standing for the female potential in a person. Your emotions are determined by the phases of the Moon. Emotional stability will never be one of your strengths, which can drive people around you crazy. A satisfying home life gives you security; this is why you have all the necessary qualities to create it. Sensitivity is one of your strengths, but also one of your weaknesses, whereby you are especially hurt when you are laughed at.



You prefer to hide your soft nucleus under a thick shell. You are afraid to admit your vulnerability. You should learn to accept your mistakes and weaknesses and open yourself up to others. This will allow you to live up to your potential. You are capable of giving affection and warmth, so much so that it is a shame not to put these qualities to use. You need others and should overcome your fear of rejection.



You have a good imagination, but a confused mind. You are not ambitious enough to put your talents to use. Overcome your inhibitions about telling people what you really think, sometimes it takes a long time for you to express yourself openly and directly. Try to assert yourself with resolute and clear effort. This will be good for your self-confidence."
6;RADIX_0000000000065537;Your Sun in Leo;"The fire sign, Leo, is ruled by the Sun, or the great light, as medieval Astrologers phrased it. The element of fire means the recognition and fulfillment of future possibilities. The Sun gives us the energy we need for our daily activities. It is the center of all life and represents the vitality in us.



Leos are generous people who sometimes have a stately emotional life. Leos are generously endowed with love, gratefulness and charm that they like to give to others. Leos live by their convictions and invest all their energy in their personalities. People born under the sign Leo find the influence of Sun symbolism as a challenge to become radiant. This abundance of positive qualities does not save Leos from having to learn to find themselves and their own energy independently of others. In other words, the Leos' most important task is to find himself.



You like to be in the limelight of a privileged position. You enjoy leaving a lasting impression on people. Your guardian angel helps you, appearing when you most need her. Practically, this means that your problems seem to vanish just when you start feeling trapped by them. 



For a Leo, nothing is more important than the own inner world. You find it difficult to overcome yourself and accept that others see things differently. You sometimes have trouble recognizing the needs of those around you. Leo, in contrast to Libra, Cancer and Pisces, is not a sign of relationships.



You hate routines and become impatient when things do not progress at your speed. You are quick to be insulted by criticism and often cannot understand what others find wrong with you. You are convinced of yourself and of your abilities and crave for recognition. You cannot be overlooked because you inspire awe. As soon as you have received your necessary allotment of admiration, you can be generous and open-heartedly share your riches with others. You remind people of a king from a fairy tale who is kind, whenever he is not fighting off an evil enemy or sees his kingdom threatened. When it is necessary you should appear simple and humble and make use of your creative potential."
7;RADIX_0000000000081921;Your Sun in Virgo;"People born under the Earth Sign Virgo tend to place their professional careers first. Virgo is the most realistic sign, which is ruled by the planet Mercury and is constantly in search of knowledge, which can immediately be put into practice. Virgos can differentiate precisely; a simple yes or no is never enough.



Your love of detail allows you to work with care and precision. Disorder and sloppiness only serve to challenge you to straighten up your surroundings. You like your work, enjoy fulfilling obligations and therefore must watch out not to let yourself be used or exploited. You have often placed too much importance on work and have missed the pleasant side of life.



You analyze your surroundings rigorously and are capable of loosing yourself in details to the point where you are not able to put the pieces together to make a whole. Do not forget the importance of recognizing the essentials in life. Do not let yourself get caught up in banalities.



Practice being tolerant and be aware of the danger of taking your views too seriously. You are capable of realizing your visions but have to learn to accept that some people have other ways of doing things. 



The sign Virgo represents health. Do not let your many worries exhaust you, this could prove harmful to your health. Basically, worrying is pointless because you will never change the course of events by worrying about them. 



The ties between the sign Virgo and the Earth explain why you value material riches and the comfort they bring. You look for quality when you shop and despise cheap mass-produced items.



Even if you are not the most romantic person and pride yourself on your autonomous, single lifestyle, you are hiding a great longing for security. You may want to reconsider your exaggerated demands on a partner.



Women, born under the sign Virgo, dominate relationships and organize the daily routines in the family. You have no reason to feel guilty about it; it just shows that you are prepared to accept responsibility."
8;RADIX_0000000000098305;Your Sun in Libra;"Libra, being a Cardinal and an Air Sign, allows you to direct your energies towards goals and initiate new situations. You prefer to plan your activities with others because you do not like being alone. The planet Venus, which rules over Libra, radiates pleasant qualities in search of harmony. You are charming and know how to dress tastefully. You want to be recognized, but are not willing to sacrifice your principles for it. It is more important to be able to smile at your reflection in the mirror.



You like to revel in thoughts of romance and fantasize about melting together with an ideal partner. You fear conflict, jealousy and hate because they contradict your aesthetic ideal of truth. This does not keep you from persevering and effectively organizing your daily activities. Be careful not to let your desire for perfection cause you to overload yourself.



Your polished manners and weakness for the finer art of living enable you to take center stage. With your friendly, courteous nature you will do well in a profession working with people.



Libra is an air sign. This is why you use reason to create visions of the best possible human society. You do everything to find your ideal, professionally and in relationships. Your sense of diplomacy and justice should make you popular and allow you to count on the help of your friends."
9;RADIX_0000000000114689;Your Sun in Scorpio;"Scorpio is a fixed water sign ruled by the planets Pluto and Mars. This constellation creates a lot of energy, which may be released suddenly. Scorpios, due to their water quality, are usually motivated by emotion, making them difficult to predict.



You do not take things lightly, but try to get to the root of the matter. Lies and half-truths make you angry, but when your own success is threatened, you are not immune to dishonesty. It is not easy to break your will. Like no other Sign of the Zodiac, Scorpios display a certain strength of regeneration and transformation, which allows you to get through the worst crises unscathed. You like using challenges to test your limits. It is essential for you to act out of the right motives, because you are capable of causing havoc when your vision is clouded by your own egotistical ambitions. You can use your abilities as you choose, either to manipulate and humiliate or to build up and support others. You have trouble letting go of defeats.



Sexuality and passion play a large role in your life. You strive to unite with the universe and can probably achieve this best erotically. Restrain your jealousy and do not turn sexuality into a stupid power struggle if you intend to enjoy it and tap its energy. Your understanding of the cycles of eternal life overrides your fear of death."
10;RADIX_0000000000131073;Your Sun in Sagittarius;"Sagittarius is a mutable fire sign always searching for new experiences. It requires intellectual freedom and does not let itself be constrained by exterior conditions or by pensive reservations. The planet Jupiter, with its prominent qualities, charity and magnitude rules Sagittarius. It is always standing by as a guardian angel and brings needed luck, even when you think that it is too late.



You are open to other people and go through life with optimism. Your search for truth leads you to wonder about the meaning of life and constantly strive for higher knowledge. You find ethical and philosophical topics interesting and like to share your wisdom with others. Social responsibility is a high priority. You must take care not to indiscriminately measure others by your standards; you may be lacking the necessary sensitivity to make a fair judgment. With sarcasm you may unintentionally hurt those around you. You should not wonder if others find your behavior arrogant and accuse you of being dogmatic and you find yourself isolated. In these moments, exercise tolerance and try to put yourself in the position of the other.



Your steadfast principles may make others appear conservative, which is only partially true, because you hold your own standards as the highest authority. People born under the sign Sagittarius are convinced that life is an adventure, a journey and a search for hidden treasure.



Your intuition allows you to understand the future significance of actions and makes you aware that everything we see and experience on a daily basis is the result of mankind's history.



Sagittarius is the most adventurous sign of the zodiac. This can be traced back to the planet Jupiter, which likes to remain at a distance, the farther the better. You are very open to foreign cultures and will probably develop your own personal view of the world during your lifetime."
